"Ano";"Mês";"Grupo Econômico";"Empresa";"CNPJ";"UF";"Tipo de Outorga";"Tipo de Atendimento";"Acessos"
2022;12;OUTROS;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;6236865000138;RJ;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;PE;Autorização;RURAL;70
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;76
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;40
2022;12;TELEFÔNICA;VIVO;2558157000162;ES;Autorização;RURAL;90
2022;12;OUTROS;ADYL NET ACESSO A INTERNET LTDA;6061646000165;RS;Autorização;RURAL;3
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;23
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;10
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;14
2022;12;OUTROS;Companhia Itabirana de Telecomunicacoes Ltda;5684180000191;MG;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;1
2022;12;OUTROS;Gold Telecom Ltda;10822045000103;MG;Autorização;RURAL;10
2022;12;OUTROS;Gold Telecom Ltda;10822045000103;MG;Autorização;RURAL;12
2022;12;OUTROS;Gold Telecom Ltda;10822045000103;MG;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;2
2022;12;OUTROS;ALCANS TELECOM LTDA;10217831000173;SP;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;RJ;Autorização;RURAL;3
2022;12;OUTROS;ALCANS TELECOM LTDA;10217831000173;SP;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;AL;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;PR;Autorização;RURAL;7
2022;12;TELECOM ITALIA;TIM;2421421000111;MA;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;BA;Autorização;RURAL;1
2022;12;OUTROS;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;6236865000138;RJ;Autorização;RURAL;76
2022;12;OUTROS;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;6236865000138;RJ;Autorização;RURAL;117
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;3
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;4
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;MG;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;ES;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;PE;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;PR;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;2
2022;12;TELECOM ITALIA;TIM;2421421000111;PR;Autorização;RURAL;15
2022;12;ALGAR (CTBC TELECOM);ALGAR (CTBC TELECOM);71208516000174;MG;Autorização;RURAL;4
2022;12;TELECOM ITALIA;TIM;2421421000111;SP;Autorização;RURAL;1
2022;12;OUTROS;Gold Telecom Ltda;10822045000103;MG;Autorização;RURAL;1
2022;12;TELECOM ITALIA;TIM;2421421000111;RJ;Autorização;RURAL;1
2022;12;OUTROS;BR CONECTA LTDA - ME;21438434000148;SP;Autorização;RURAL;2
2022;12;OUTROS;BR CONECTA LTDA - ME;21438434000148;SP;Autorização;RURAL;6
2022;12;OUTROS;BR CONECTA LTDA - ME;21438434000148;SP;Autorização;RURAL;3
